Date,Price,Open,High,Low,Vol.,Change %,,,,,,,
05/01/2024,"10,914.11","10,914.11","10,914.11","10,914.11",,-0.34%,,,,,,,
04/30/2024,"10,951.66","10,951.66","10,951.66","10,951.66",,-1.57%,,,,,,,
04/29/2024,"11,126.28","11,126.28","11,126.28","11,126.28",,0.32%,,,,,,,
04/26/2024,"11,090.46","11,090.46","11,090.46","11,090.46",,1.02%,,,,,,,
04/25/2024,"10,978.20","10,978.20","10,978.20","10,978.20",,-0.46%,,,,,,,
04/24/2024,"11,028.46","11,028.46","11,028.46","11,028.46",,0.02%,,,,,,,
04/23/2024,"11,026.06","11,026.06","11,026.06","11,026.06",,1.20%,,,,,,,
04/22/2024,"10,895.47","10,895.47","10,895.47","10,895.47",,0.87%,,,,,,,
04/19/2024,"10,801.16","10,801.16","10,801.16","10,801.16",,-0.87%,,,,,,,
04/18/2024,"10,896.07","10,896.07","10,896.07","10,896.07",,-0.21%,,,,,,,
04/17/2024,"10,919.49","10,919.49","10,919.49","10,919.49",,-0.58%,,,,,,,
04/16/2024,"10,982.99","10,982.99","10,982.99","10,982.99",,-0.21%,,,,,,,
04/15/2024,"11,005.61","11,005.61","11,005.61","11,005.61",,-1.20%,,,,,,,
04/12/2024,"11,139.38","11,139.38","11,139.38","11,139.38",,-1.44%,,,,,,,
04/11/2024,"11,302.53","11,302.53","11,302.53","11,302.53",,0.75%,,,,,,,
04/10/2024,"11,218.73","11,218.73","11,218.73","11,218.73",,-0.94%,,,,,,,
04/09/2024,"11,325.63","11,325.63","11,325.63","11,325.63",,0.16%,,,,,,,
04/08/2024,"11,307.66","11,307.66","11,307.66","11,307.66",,-0.04%,,,,,,,
04/05/2024,"11,311.70","11,311.70","11,311.70","11,311.70",,1.11%,,,,,,,
04/04/2024,"11,187.49","11,187.49","11,187.49","11,187.49",,-1.22%,,,,,,,
04/03/2024,"11,325.78","11,325.78","11,325.78","11,325.78",,0.11%,,,,,,,
04/02/2024,"11,312.90","11,312.90","11,312.90","11,312.90",,-0.72%,,,,,,,
04/01/2024,"11,395.08","11,395.08","11,395.08","11,395.08",,-0.20%,,,,,,,
03/28/2024,"11,418.03","11,418.03","11,418.03","11,418.03",,0.11%,,,,,,,
03/27/2024,"11,404.95","11,404.95","11,404.95","11,404.95",,0.88%,,,,,,,
03/26/2024,"11,306.01","11,306.01","11,306.01","11,306.01",,-0.28%,,,,,,,
03/25/2024,"11,337.74","11,337.74","11,337.74","11,337.74",,-0.31%,,,,,,,
03/22/2024,"11,372.49","11,372.49","11,372.49","11,372.49",,-0.14%,,,,,,,
03/21/2024,"11,387.89","11,387.89","11,387.89","11,387.89",,0.33%,,,,,,,
03/20/2024,"11,350.89","11,350.89","11,350.89","11,350.89",,0.90%,,,,,,,
03/19/2024,"11,249.23","11,249.23","11,249.23","11,249.23",,0.56%,,,,,,,
03/18/2024,"11,186.04","11,186.04","11,186.04","11,186.04",,0.63%,,,,,,,
03/15/2024,"11,115.69","11,115.69","11,115.69","11,115.69",,-0.64%,,,,,,,
03/14/2024,"11,187.85","11,187.85","11,187.85","11,187.85",,-0.26%,,,,,,,
03/13/2024,"11,217.30","11,217.30","11,217.30","11,217.30",,-0.19%,,,,,,,
03/12/2024,"11,238.46","11,238.46","11,238.46","11,238.46",,1.12%,,,,,,,
03/11/2024,"11,113.61","11,113.61","11,113.61","11,113.61",,-0.11%,,,,,,,
03/08/2024,"11,126.07","11,126.07","11,126.07","11,126.07",,-0.65%,,,,,,,
03/07/2024,"11,198.39","11,198.39","11,198.39","11,198.39",,1.04%,,,,,,,
03/06/2024,"11,082.65","11,082.65","11,082.65","11,082.65",,0.52%,,,,,,,
03/05/2024,"11,025.16","11,025.16","11,025.16","11,025.16",,-1.02%,,,,,,,
03/04/2024,"11,138.43","11,138.43","11,138.43","11,138.43",,-0.12%,,,,,,,
03/01/2024,"11,151.34","11,151.34","11,151.34","11,151.34",,0.81%,,,,,,,
02/29/2024,"11,062.11","11,062.11","11,062.11","11,062.11",,0.54%,,,,,,,
02/28/2024,"11,002.20","11,002.20","11,002.20","11,002.20",,-0.16%,,,,,,,
02/27/2024,"11,019.44","11,019.44","11,019.44","11,019.44",,0.17%,,,,,,,
02/26/2024,"11,000.50","11,000.50","11,000.50","11,000.50",,-0.37%,,,,,,,
02/23/2024,"11,041.90","11,041.90","11,041.90","11,041.90",,0.04%,,,,,,,
02/22/2024,"11,037.82","11,037.82","11,037.82","11,037.82",,2.12%,,,,,,,
02/21/2024,"10,808.93","10,808.93","10,808.93","10,808.93",,0.13%,,,,,,,
02/20/2024,"10,794.80","10,794.80","10,794.80","10,794.80",,-0.60%,,,,,,,
02/16/2024,"10,859.63","10,859.63","10,859.63","10,859.63",,-0.46%,,,,,,,
02/15/2024,"10,910.31","10,910.31","10,910.31","10,910.31",,0.60%,,,,,,,
02/14/2024,"10,844.72","10,844.72","10,844.72","10,844.72",,0.98%,,,,,,,
02/13/2024,"10,739.81","10,739.81","10,739.81","10,739.81",,-1.36%,,,,,,,
02/12/2024,"10,887.41","10,887.41","10,887.41","10,887.41",,-0.09%,,,,,,,
02/09/2024,"10,897.61","10,897.61","10,897.61","10,897.61",,0.58%,,,,,,,
02/08/2024,"10,834.36","10,834.36","10,834.36","10,834.36",,0.07%,,,,,,,
02/07/2024,"10,826.81","10,826.81","10,826.81","10,826.81",,0.83%,,,,,,,
02/06/2024,"10,738.17","10,738.17","10,738.17","10,738.17",,0.23%,,,,,,,
02/05/2024,"10,713.11","10,713.11","10,713.11","10,713.11",,-0.32%,,,,,,,
02/02/2024,"10,747.25","10,747.25","10,747.25","10,747.25",,1.07%,,,,,,,
02/01/2024,"10,633.14","10,633.14","10,633.14","10,633.14",,1.25%,,,,,,,
01/31/2024,"10,501.38","10,501.38","10,501.38","10,501.38",,-1.61%,,,,,,,
01/30/2024,"10,672.95","10,672.95","10,672.95","10,672.95",,-0.05%,,,,,,,
01/29/2024,"10,678.50","10,678.50","10,678.50","10,678.50",,0.76%,,,,,,,
01/26/2024,"10,598.23","10,598.23","10,598.23","10,598.23",,-0.07%,,,,,,,
01/25/2024,"10,605.13","10,605.13","10,605.13","10,605.13",,0.53%,,,,,,,
